,2001,2003,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Canada,-,59,40,-,28,-,88,-,-,-,81,-,76,83,22
France,20,20,25,15,14,13,91,87,84,86,83,83,83,84,14
Germany,51,33,30,25,19,14,93,90,88,87,88,71,73,86,11
Greece,-,-,-,-,-,-,-,-,-,30,35,27,-,41,19
Hungary,-,-,-,-,-,-,-,-,-,-,-,-,-,58,29
Italy,33,43,-,-,30,-,-,-,-,73,76,75,77,68,25
Netherlands,-,-,39,-,-,-,-,-,-,-,-,-,-,92,17
Poland,-,-,47,-,29,41,62,60,52,50,49,55,64,58,23
Spain,-,26,18,7,7,8,72,69,67,61,54,58,58,75,7
Sweden,-,-,-,-,21,-,-,-,-,-,-,-,-,93,10
UK,30,51,38,30,24,16,86,84,75,80,72,74,76,79,22
Russia,-,8,28,21,18,22,37,41,41,36,29,15,11,-,53
Australia,-,59,-,-,-,23,-,-,-,-,77,-,81,84,29
India,-,-,-,-,-,-,-,-,-,-,53,48,74,58,40
Indonesia,-,-,19,20,14,23,71,67,62,-,53,60,64,-,23
Japan,-,-,-,32,35,25,85,76,81,74,70,60,66,78,24
Philippines,-,-,-,-,-,-,-,-,-,-,84,89,94,-,69
South Korea,-,36,-,-,22,30,81,75,-,-,77,84,88,-,17
Vietnam,-,-,-,-,-,-,-,-,-,-,-,67,71,-,58
Israel,-,83,-,-,57,-,56,-,49,-,61,71,49,-,56
Jordan,-,1,1,7,8,7,31,26,28,22,24,17,14,-,9
Lebanon,-,17,23,-,34,33,46,43,43,39,37,35,36,-,15
Tunisia,-,-,-,-,-,-,-,-,-,28,24,27,-,-,18
Turkey,-,8,8,3,2,2,33,23,12,24,29,24,45,-,11
Ghana,-,-,-,-,69,-,-,-,-,-,55,60,82,-,49
Kenya,-,-,-,-,72,-,94,95,86,-,81,78,80,83,51
Nigeria,-,-,-,-,-,-,-,84,-,-,53,53,73,63,58
Senegal,-,-,-,-,-,-,-,-,-,-,78,73,77,-,26
South Africa,-,-,-,-,-,32,-,-,-,-,74,72,77,73,39
Tanzania,-,-,-,-,40,60,-,-,-,-,-,74,78,-,51
Argentina,-,-,-,-,5,7,61,49,-,-,44,31,40,-,13
Brazil,-,-,-,-,-,-,-,56,63,68,69,52,63,-,14
Chile,-,-,-,-,29,-,-,-,-,-,56,54,60,-,12
Colombia,-,-,-,-,-,-,-,-,-,-,-,56,-,-,15
Mexico,-,-,-,-,28,16,55,43,38,42,49,40,49,-,5
Peru,-,-,-,-,29,-,-,-,-,-,-,46,53,-,17
Venezuela,-,-,-,-,-,-,-,-,-,-,28,33,26,-,20