,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Canada,-,72,63,-,59,-,55,-,68,-,-,-,64,-,68,65,43
France,62,62,42,37,43,39,39,42,75,73,75,69,64,75,73,63,46
Germany,78,60,45,38,42,37,30,31,64,63,62,52,53,51,50,57,35
Greece,-,-,-,-,-,-,-,-,-,-,-,35,39,34,-,38,43
Hungary,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62,63
Italy,76,70,60,-,-,-,53,-,-,-,-,74,76,78,83,72,61
Netherlands,-,-,-,-,45,-,-,-,-,-,-,-,-,-,-,65,37
Poland,86,79,-,-,62,-,61,68,67,74,70,69,67,73,74,74,73
Spain,50,-,38,-,41,23,34,33,58,61,64,58,62,60,65,59,31
Sweden,-,-,-,-,-,-,46,-,-,-,-,-,-,-,-,69,45
UK,83,75,70,58,55,56,51,53,69,65,61,60,58,66,65,61,50
Russia,37,61,37,46,52,43,41,46,44,57,56,52,51,23,15,-,41
Australia,-,-,59,-,-,-,-,46,-,-,-,-,66,-,63,60,48
India,-,-,-,-,-,-,-,-,-,-,-,-,56,55,70,56,49
Indonesia,-,-,-,-,38,30,29,37,63,59,54,-,61,59,62,-,48
Japan,77,72,-,-,-,63,61,50,59,66,85,72,69,66,68,72,57
Philippines,-,90,-,-,-,-,-,-,-,-,-,-,85,92,92,-,79
South Korea,58,52,46,-,-,-,58,70,78,79,-,-,78,82,84,-,75
Vietnam,-,-,-,-,-,-,-,-,-,-,-,-,-,76,78,-,84
Israel,-,-,78,-,-,-,78,-,71,-,72,-,83,84,81,-,81
Jordan,-,25,1,5,21,15,20,19,25,21,13,12,14,12,14,-,15
Lebanon,-,36,27,-,42,-,47,51,55,52,49,48,47,41,39,-,34
Tunisia,-,-,-,-,-,-,-,-,-,-,-,45,42,42,-,-,27
Turkey,52,30,15,30,23,12,9,12,14,17,10,15,21,19,29,-,18
Ghana,-,83,-,-,-,-,80,-,-,-,-,-,83,77,89,-,59
Kenya,94,80,-,-,-,-,87,-,90,94,83,-,81,80,84,63,54
Nigeria,-,-,-,-,-,-,-,-,-,81,-,-,69,69,76,66,69
Senegal,-,-,-,-,-,-,-,-,-,-,-,-,81,74,80,-,55
South Africa,-,65,-,-,-,-,-,60,-,-,-,-,72,68,74,60,53
Tanzania,-,53,-,-,-,-,46,65,-,-,-,-,-,75,78,-,57
Argentina,50,34,-,-,-,-,16,22,38,42,-,-,41,36,43,-,35
Brazil,-,-,-,-,-,-,-,-,-,62,62,61,73,65,73,-,50
Chile,-,-,-,-,-,-,55,-,-,-,-,-,68,72,68,-,39
Colombia,-,-,-,-,-,-,-,-,-,-,-,-,-,64,-,-,51
Mexico,68,64,-,-,-,-,56,47,69,56,52,56,66,63,66,-,30
Peru,74,67,-,-,-,-,61,-,-,-,-,-,-,65,70,-,51
Venezuela,-,-,-,-,-,-,-,-,-,-,-,-,53,62,51,-,47